number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_size,params_learning_rate,params_num_layers,state
0,0.0004204387660138309,2026-06-04 21:07:48.584091,2026-06-04 21:07:59.340580,0 days 00:00:10.756489,leaky_relu,64,77,0.0025786898058800566,4,COMPLETE
1,0.0008661735337227583,2026-06-04 21:07:59.340580,2026-06-04 21:08:16.146460,0 days 00:00:16.805880,elu,64,62,0.00583592771541595,5,COMPLETE
2,0.0006728796870447695,2026-06-04 21:08:16.146460,2026-06-04 21:08:29.804553,0 days 00:00:13.658093,relu,32,29,0.006179589413639152,2,COMPLETE
3,0.000542491499800235,2026-06-04 21:08:29.804553,2026-06-04 21:08:46.488870,0 days 00:00:16.684317,leaky_relu,32,35,0.0008380415032179125,3,COMPLETE
4,0.0004374059790279716,2026-06-04 21:08:46.489871,2026-06-04 21:08:55.087518,0 days 00:00:08.597647,leaky_relu,64,28,0.0026634010835623317,3,COMPLETE
5,0.0005635442794300616,2026-06-04 21:08:55.087518,2026-06-04 21:09:14.018164,0 days 00:00:18.930646,elu,32,10,0.00030249332764983465,4,COMPLETE
6,0.014942418783903122,2026-06-04 21:09:14.018164,2026-06-04 21:09:39.236260,0 days 00:00:25.218096,tanh,32,99,0.0028009082501130305,5,COMPLETE
7,0.00029952911427244544,2026-06-04 21:09:39.236260,2026-06-04 21:09:44.534017,0 days 00:00:05.297757,leaky_relu,64,71,0.0011420190201304917,1,COMPLETE
8,0.016897698864340782,2026-06-04 21:09:44.535019,2026-06-04 21:09:51.038864,0 days 00:00:06.503845,relu,128,66,0.005331074002239382,5,COMPLETE
9,0.009970597922801971,2026-06-04 21:09:51.038864,2026-06-04 21:09:57.562973,0 days 00:00:06.524109,elu,128,87,0.001488006449384364,4,COMPLETE
10,0.0016242990968748927,2026-06-04 21:09:57.562973,2026-06-04 21:10:02.891044,0 days 00:00:05.328071,tanh,64,48,0.0001311102535923501,1,COMPLETE
11,0.0004429003456607461,2026-06-04 21:10:02.891471,2026-06-04 21:10:08.114844,0 days 00:00:05.223373,leaky_relu,64,77,0.0005962623943269712,1,COMPLETE
12,0.0010458189062774181,2026-06-04 21:10:08.114844,2026-06-04 21:10:15.099703,0 days 00:00:06.984859,leaky_relu,64,72,0.001440871674233761,2,COMPLETE
13,0.0004256691609043628,2026-06-04 21:10:15.099703,2026-06-04 21:10:21.921325,0 days 00:00:06.821622,leaky_relu,64,54,0.0005107016640825866,2,COMPLETE
14,0.00030873165815137327,2026-06-04 21:10:21.921325,2026-06-04 21:10:30.780943,0 days 00:00:08.859618,leaky_relu,64,83,0.002258633025528638,3,COMPLETE
15,0.00030419250833801925,2026-06-04 21:10:30.780943,2026-06-04 21:10:39.812862,0 days 00:00:09.031919,leaky_relu,64,91,0.0014747849452286126,3,COMPLETE
16,0.00039469311013817787,2026-06-04 21:10:39.813862,2026-06-04 21:10:42.584560,0 days 00:00:02.770698,leaky_relu,128,98,0.00029852662467710076,1,COMPLETE
17,0.00031136677716858685,2026-06-04 21:10:42.584560,2026-06-04 21:10:49.851383,0 days 00:00:07.266823,relu,64,88,0.0009935126521141778,2,COMPLETE
18,0.00045018550008535385,2026-06-04 21:10:49.851825,2026-06-04 21:10:58.829163,0 days 00:00:08.977338,tanh,64,59,0.0002770766839503754,3,COMPLETE
19,0.003148031188175082,2026-06-04 21:10:58.829163,2026-06-04 21:11:01.635331,0 days 00:00:02.806168,leaky_relu,128,92,0.009639402603789494,1,COMPLETE
20,0.0004434355068951845,2026-06-04 21:11:01.635331,2026-06-04 21:11:08.410085,0 days 00:00:06.774754,leaky_relu,64,45,0.0013681213830042665,2,COMPLETE
21,0.0004520916554611176,2026-06-04 21:11:08.411464,2026-06-04 21:11:17.210970,0 days 00:00:08.799506,leaky_relu,64,81,0.0021420653481778215,3,COMPLETE
22,0.0009819726692512631,2026-06-04 21:11:17.210970,2026-06-04 21:11:25.966544,0 days 00:00:08.755574,leaky_relu,64,72,0.0008751131818870608,3,COMPLETE
23,0.00036418481613509357,2026-06-04 21:11:25.967543,2026-06-04 21:11:36.680950,0 days 00:00:10.713407,leaky_relu,64,82,0.001907773936542832,4,COMPLETE
24,0.00035486582783050835,2026-06-04 21:11:36.681950,2026-06-04 21:11:45.899502,0 days 00:00:09.217552,leaky_relu,64,93,0.004151722245005214,3,COMPLETE
25,0.0003615971945691854,2026-06-04 21:11:45.899502,2026-06-04 21:11:56.390846,0 days 00:00:10.491344,leaky_relu,64,69,0.0005366530389290989,4,COMPLETE
26,0.0005349169368855655,2026-06-04 21:11:56.391848,2026-06-04 21:12:03.716698,0 days 00:00:07.324850,elu,64,84,0.0034586417905047547,2,COMPLETE
27,0.0009376541129313409,2026-06-04 21:12:03.716698,2026-06-04 21:12:13.017761,0 days 00:00:09.301063,tanh,64,91,0.0011746933648897945,3,COMPLETE
28,0.0005920942057855427,2026-06-04 21:12:13.018764,2026-06-04 21:12:15.754086,0 days 00:00:02.735322,relu,128,76,0.0018074911743483427,1,COMPLETE
29,0.0004893272998742759,2026-06-04 21:12:15.754086,2026-06-04 21:12:35.969677,0 days 00:00:20.215591,leaky_relu,32,79,0.0006994402147549122,4,COMPLETE
30,0.00045040069380775094,2026-06-04 21:12:35.975246,2026-06-04 21:12:42.667735,0 days 00:00:06.692489,leaky_relu,64,64,0.0037599707183695002,2,COMPLETE
31,0.0003407323092687875,2026-06-04 21:12:42.668734,2026-06-04 21:12:49.889428,0 days 00:00:07.220694,relu,64,87,0.0009401531965048609,2,COMPLETE
32,0.0003464014735072851,2026-06-04 21:12:49.889428,2026-06-04 21:12:57.291018,0 days 00:00:07.401590,relu,64,94,0.001124514080123115,2,COMPLETE
33,0.00038932266761548817,2026-06-04 21:12:57.291018,2026-06-04 21:13:02.549914,0 days 00:00:05.258896,relu,64,87,0.00044273646026296804,1,COMPLETE
34,0.0006147170788608491,2026-06-04 21:13:02.549914,2026-06-04 21:13:11.338558,0 days 00:00:08.788644,relu,64,72,0.002132835622190476,3,COMPLETE
35,0.00032776003354229033,2026-06-04 21:13:11.338558,2026-06-04 21:13:20.575120,0 days 00:00:09.236562,relu,64,100,0.0010823483977799762,3,COMPLETE
